The error in the VIE for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |        |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule             | ref    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
H2CS                 |   9.35 |           0.21           3.12           3.12 |           0.03           2.93           2.76 |           0.20           3.08           1.50 |           1.27           4.12           1.27 |           0.09           2.97           2.88 |           0.02           2.90           0.35
2-Propenoic_acid     |  10.87 |           0.55           3.05           3.05 |           0.35           2.68           2.68 |           0.38           2.81           1.50 |           1.60           4.02           1.48 |           0.37           2.75           2.75 |           0.13           2.57           0.43
Acrolein             |  10.18 |           0.50           3.06           3.06 |           0.24           2.78           2.68 |           0.39           2.90           0.96 |           1.59           4.07           1.59 |           0.32           2.85           2.81 |           0.17           2.71           0.47
CH3CH2CH3            |  12.16 |           1.16           3.80           3.80 |           0.66           3.31           3.28 |           0.34           2.99           1.65 |           0.53           3.27           0.53 |           0.70           3.32           3.32 |           0.56           3.19           0.86
CH3CCH               |  10.55 |           0.46           3.08           3.08 |           0.27           2.89           2.88 |           0.47           3.08           1.68 |           1.56           4.17           1.56 |           0.34           2.94           2.94 |           0.20           2.80           0.51
C3O2                 |  10.73 |           0.19           3.03           3.03 |          -0.04           2.80           2.78 |           0.10           2.95           1.36 |           1.24           4.07           1.24 |           0.01           2.84           2.84 |           0.03           2.86           0.37
CFCl3                |  11.74 |           1.08           3.65           3.65 |           0.47           3.04           2.98 |           0.01           2.57           1.31 |          -0.10           2.47          -0.10 |           0.41           2.95           2.95 |           0.07           2.62           0.40
S2                   |   9.38 |           0.09           3.11           3.11 |          -0.28           2.74           2.58 |          -0.42           2.60           1.03 |          -0.21           2.79          -0.21 |          -0.35           2.66           2.65 |          -0.45           2.56          -0.06
AlCl3                |  12.00 |           1.31           3.81           3.81 |           0.68           3.16           3.05 |           0.17           2.65           1.41 |          -0.00           2.47          -0.00 |           0.59           3.06           3.06 |           0.09           2.56           0.41
HCCCHO               |  10.83 |           0.51           3.09           3.09 |           0.20           2.79           2.72 |           0.37           2.95           0.90 |           1.59           4.15           1.59 |           0.29           2.87           2.82 |           0.12           2.72           0.46
Ethylenimine         |   9.94 |           0.36           2.88           2.88 |           0.14           2.65           2.65 |           0.28           2.78           1.24 |           1.32           3.82           1.32 |           0.20           2.70           2.70 |           0.10           2.60           0.43
CH2CF2               |  10.63 |           0.44           3.42           3.42 |           0.18           3.17           3.17 |           0.27           3.28           1.75 |           1.27           4.32           1.27 |           0.27           3.24           3.24 |           0.23           3.19           0.63
SiF2                 |  11.15 |           0.28           3.60           3.60 |          -0.01           3.35           3.26 |           0.00           3.42           1.87 |           0.92           4.42           0.92 |           0.12           3.48           3.47 |           0.10           3.46           0.55
CH3COCH3             |   9.81 |           0.47           2.88           2.88 |           0.21           2.60           2.59 |           0.34           2.70           0.98 |           1.49           3.84           1.49 |           0.29           2.66           2.66 |           0.15           2.53           0.48
1-Chloropropane      |  10.96 |           0.70           3.11           3.11 |           0.15           2.68           2.68 |           0.09           2.68           1.27 |           0.97           3.58           0.97 |           0.16           2.68           2.68 |           0.01           2.58           0.36
CCl3H                |  11.47 |           1.04           3.50           3.50 |           0.45           2.91           2.91 |           0.01           2.51           1.30 |          -0.49           2.01          -0.49 |           0.38           2.82           2.82 |           0.04           2.49           0.37
Fluoroethene         |  10.61 |           0.37           3.33           3.33 |           0.18           3.15           3.13 |           0.36           3.35           1.80 |           1.46           4.47           1.46 |           0.27           3.22           3.22 |           0.19           3.13           0.60
HCCCN                |  11.81 |           0.61           3.37           3.37 |           0.37           3.13           3.13 |           0.48           3.26           1.78 |           1.55           4.39           1.55 |           0.39           3.15           3.15 |           0.21           2.99           0.59
SiH4                 |  12.81 |           0.78           3.86           3.86 |           0.38           3.46           3.35 |           0.19           3.26           1.78 |           0.46           3.53           0.46 |           0.43           3.49           3.49 |           0.30           3.37           0.73
BCl3                 |  11.72 |           1.10           3.67           3.67 |           0.50           3.07           3.01 |           0.05           2.62           1.37 |          -0.03           2.54          -0.03 |           0.42           2.98           2.98 |           0.05           2.61           0.41
CH3CONH2             |   9.95 |           0.38           2.81           2.81 |           0.16           2.54           2.49 |           0.37           2.49           0.96 |           1.61           3.92           1.61 |           0.26           2.62           2.60 |           0.11           2.47           0.46
CH3CClO              |  11.11 |           0.51           3.08           3.08 |           0.17           2.72           2.69 |           0.25           2.80           1.05 |           0.21           3.04           0.21 |           0.20           2.75           2.75 |           0.05           2.61           0.43
s-Tetrazine          |   9.70 |           0.74           3.22           3.22 |           0.12           2.59           2.59 |          -0.38           2.08           0.80 |          -0.52           1.93          -0.52 |           0.13           2.58           2.58 |          -0.04           2.41           0.32
CBrF3                |  11.93 |           0.39           3.38           3.38 |           0.00           3.05           3.05 |          -0.02           3.08           1.55 |           0.81           3.95           0.81 |           0.05           3.09           3.09 |           0.03           3.08           0.48
CH2CO                |   9.72 |           0.15           3.13           3.13 |          -0.04           2.95           2.91 |           0.13           3.12           1.54 |           1.19           4.17           1.19 |           0.05           3.03           3.03 |          -0.01           2.96           0.44
NSF3                 |  12.49 |           0.46           3.40           3.40 |           0.17           3.13           3.13 |           0.30           3.28           1.54 |           1.41           4.41           1.41 |           0.23           3.18           3.18 |           0.17           3.10           0.62
CH2Cl2               |  11.56 |           1.03           3.67           3.67 |           0.29           3.14           3.14 |           0.12           2.89           1.51 |           0.14          -0.54           0.14 |           0.26           3.09           3.09 |           0.21           2.86           0.61
