The deviation from linearity measured by Equation 3 for each molecule in the McKenchie test set of 147 small molecules, ordered first by the magnitude of the dielecitric constant returned when using lc-wpbe, then alphabetically.
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |                blyp                          |                b3lyp                         |                bhhlyp                        |                hf                            |                hse06                         |                lc-wpbe                      
Molecule               | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)    | KS             KS+PCM(water)  KS+PCM(opt)   
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Ethylenimine           |          -0.64          -0.18          -0.18 |          -0.46          -0.00          -0.00 |          -0.18           0.29           0.00 |           0.34           0.81           0.34 |          -0.47          -0.01          -0.01 |          -0.06           0.40           0.00
CH2CF2                 |          -0.64          -0.17          -0.17 |          -0.48          -0.01          -0.01 |          -0.24           0.24          -0.00 |           0.21           0.70           0.21 |          -0.50          -0.02          -0.02 |          -0.06           0.41          -0.00
SiF2                   |          -0.62          -0.13          -0.13 |          -0.48           0.01           0.00 |          -0.27           0.23          -0.00 |           0.14           0.65           0.14 |          -0.50           0.00           0.00 |          -0.07           0.43           0.00
CH3COCH3               |          -0.63          -0.19          -0.19 |          -0.44           0.00          -0.00 |          -0.12           0.32          -0.00 |           0.47           0.91           0.47 |          -0.45          -0.01          -0.01 |          -0.06           0.38           0.00
1-Chloropropane        |          -0.56          -0.14          -0.14 |          -0.44          -0.00          -0.00 |          -0.21           0.26          -0.00 |           0.27           0.75           0.27 |          -0.47          -0.02          -0.02 |          -0.06           0.40           0.00
CCl3H                  |          -0.52          -0.13          -0.13 |          -0.40          -0.01          -0.01 |          -0.21           0.20           0.00 |           0.09           0.49           0.09 |          -0.43          -0.04          -0.04 |          -0.05           0.34          -0.00
Fluoroethene           |          -0.65          -0.16          -0.16 |          -0.48           0.00          -0.00 |          -0.24           0.25          -0.00 |           0.21           0.70           0.21 |          -0.50          -0.01          -0.01 |          -0.07           0.42           0.00
HCCCN                  |          -0.59          -0.15          -0.15 |          -0.44          -0.00          -0.00 |          -0.21           0.24          -0.00 |           0.22           0.69           0.22 |          -0.46          -0.02          -0.02 |          -0.06           0.38           0.00
SiH4                   |          -0.60          -0.12          -0.12 |          -0.47           0.02          -0.00 |          -0.25           0.23          -0.00 |           0.14           0.62           0.14 |          -0.49          -0.01          -0.01 |          -0.07           0.41           0.00
BCl3                   |          -0.52          -0.11          -0.11 |          -0.40           0.01          -0.00 |          -0.21           0.20           0.00 |           0.12           0.53           0.12 |          -0.43          -0.02          -0.02 |          -0.06           0.35           0.00
CH3CONH2               |          -0.65          -0.19          -0.19 |          -0.45           0.01          -0.00 |          -0.11           0.30          -0.00 |           0.47           0.91           0.47 |          -0.45           0.01           0.00 |          -0.07           0.39           0.00
CH3CClO                |          -0.60          -0.16          -0.16 |          -0.43           0.01          -0.00 |          -0.13           0.31           0.00 |           0.26           0.75           0.26 |          -0.45          -0.01          -0.01 |          -0.06           0.37          -0.00
